Churn_Probability,Churn_Risk,Contract,tenure,TenureCategory_Medium-term,TenureCategory_Long-term,MonthlyCharges,TotalCharges,AvgMonthlySpend,LogTotalCharges,Monthly_Tenure,Support_TotalCharges,SupportServices,AutoPayment,PaperlessBilling,InternetService,TechSupport,StreamingTV,StreamingMovies,SeniorCitizen,Partner,Dependents,gender_Male
0.50220823,Medium,0,35,0,1,49.2,1701.65,1.3666666666666667,7.439941139869458,1722,0,0,0,0,1,0,1,1,0,0,0,1
0.4430479,Medium,0,15,1,0,75.1,1151.55,4.69375,7.049732157877687,1126.5,1151.55,1,0,0,2,0,0,0,0,1,1,1
0.007790629,Low,2,13,1,0,40.55,590.35,2.8964285714285714,6.382408058697126,527.15,590.35,1,0,0,1,1,0,0,0,1,1,1
0.024102064,Low,2,26,0,1,73.5,1905.7,2.7222222222222223,7.553129278070399,1911,0,0,1,1,1,0,1,1,0,1,0,0
0.7427859,High,0,1,0,0,44.55,44.55,22.275,3.8188106237059674,44.55,0,0,0,0,1,0,0,0,0,1,1,1
0.19140333,Low,2,66,0,1,79.5,5196.1,1.1865671641791045,8.555856057,5247,5196.1,1,1,1,1,1,1,1,0,0,1,1
0.336848,Medium,0,1,0,0,19.8,19.8,9.9,3.0349529867072724,19.8,0,0,1,0,0,0,0,0,0,0,0,0
0.38455504,Medium,0,40,0,1,56.6,2379.1,1.380487804878049,7.774897782589561,2264,0,0,1,0,1,0,0,0,0,1,0,0
0.0213303,Low,2,65,0,1,59.8,3808.2,0.906060606,8.245174472,3887,3808.2,1,1,1,1,1,1,0,0,1,0,0
0.05946691,Low,1,60,0,1,80.55,4847.05,1.3204918032786885,8.486331841227319,4833,4847.05,1,1,0,1,1,1,1,0,0,0,0
0.23935102,Low,0,5,0,0,59.9,287.85,9.983333333333333,5.665907522227275,299.5,287.85,1,1,0,1,1,0,0,1,0,0,0
0.5382926,Medium,0,5,0,0,49.4,232.55,8.233333333333333,5.453396186948117,247,232.55,1,0,1,1,0,0,0,0,1,1,0
0.57795334,Medium,0,2,0,0,50.95,123.05,16.983333333333334,4.82068471,101.9,123.05,1,0,0,1,0,0,0,0,0,0,0
0.11042161,Low,0,30,0,1,67.6,2000.2,2.1806451612903226,7.60150228,2027.9999999999998,2000.2,1,0,0,1,1,0,0,0,1,1,1
0.6819559,High,0,36,0,1,95.4,3474.2,2.5783783783783787,8.153407310299562,3434.4,0,0,0,1,2,0,1,1,0,1,0,1
0.037465308,Low,2,55,0,1,69.05,3842.6,1.2330357142857142,8.254164706403113,3797.75,0,0,1,1,2,0,0,0,0,1,1,0
0.43219492,Medium,0,31,0,1,84.75,2613.4,2.6484375,7.868789904665684,2627.25,2613.4,1,1,1,2,0,0,0,0,0,0,0
0.34514752,Medium,0,28,0,1,35.9,973.65,1.2379310344827585,6.882078432192154,1005.1999999999999,0,0,0,1,1,0,1,0,1,1,1,0
0.011478126,Low,2,16,1,0,18.95,326.8,1.1147058823529412,5.792403666309729,303.2,0,0,1,0,0,0,0,0,0,0,0,1
0.3545426,Medium,0,6,0,0,20.15,130.5,2.8785714285714286,4.879006851617819,120.89999999999999,0,0,1,0,0,0,0,0,0,0,0,1
0.15309869,Low,1,27,0,1,85.9,2220.1,3.067857142857143,7.705757847644463,2319.3,2220.1,1,0,1,2,0,0,0,1,1,0,1
0.049961526,Low,2,58,0,1,25.3,1474.35,0.4288135593220339,7.296650528761137,1467.4,0,0,1,1,0,0,0,0,0,0,0,1
0.013598546,Low,2,72,0,1,104.9,7732.65,1.4369863013698632,8.953336216423796,7552.8,7732.65,1,1,1,2,1,0,1,0,1,1,1
0.16322798,Low,0,28,0,1,35.75,961.4,1.2327586206896552,6.869430164660469,1001,961.4,1,0,1,1,1,0,0,0,0,0,0
0.31056827,Low,1,40,0,1,85.05,3355.65,2.074390243902439,8.118698731788875,3402,0,0,0,1,2,0,1,0,0,1,1,1
0.647146,Medium,0,1,0,0,20.5,20.5,10.25,3.068052935133617,20.5,0,0,0,0,0,0,0,0,0,0,0,1
0.9093225,High,0,5,0,0,80,412.5,13.333333333333334,6.024657514463746,400,0,0,0,1,2,0,0,1,0,0,0,0
0.9821457,High,0,1,0,0,69.2,69.2,34.6,4.251348311031766,69.2,0,0,0,1,2,0,0,0,0,0,0,0
0.6400757,Medium,0,12,0,0,105.3,1275.65,8.1,7.151994739,1263.6,0,0,0,1,2,0,1,1,0,0,1,0
0.9187,High,0,5,0,0,96.1,453.4,16.016666666666666,6.118977867406942,480.5,453.4,1,0,1,2,1,1,1,0,0,0,1
0.005073515,Low,2,71,0,1,86.1,6045.9,1.1958333333333333,8.707301023010626,6113.099999999999,6045.9,1,1,1,1,1,1,1,0,1,0,1
0.9297906,High,0,3,0,0,76.95,228.4,19.2375,5.435467204695271,230.85000000000002,0,0,0,1,2,0,0,0,0,0,0,1
0.57992506,Medium,0,30,0,1,19.65,655.85,0.6338709677419354,6.487455681915517,589.5,0,0,1,0,0,0,0,0,0,1,0,0
0.026577288,Low,1,25,0,1,20.2,507.9,0.7769230769230769,6.232251533594787,505,0,0,1,1,0,0,0,0,0,1,0,0
0.012174115,Low,2,52,0,1,24.55,1331.05,0.46320754716981133,7.194474387933356,1276.6000000000001,0,0,0,0,0,0,0,0,0,1,1,1
0.49661312,Medium,1,46,0,1,110,4874.8,2.3404255319148937,8.492039472532698,5060,4874.8,1,0,1,2,0,1,1,1,0,0,0
0.6981135,High,0,9,0,0,70.5,597.9,7.05,6.395094639270416,634.5,0,0,0,1,2,0,0,0,0,0,0,1
0.8191138,High,0,19,1,0,86.85,1564.4,4.342499999999999,7.355896661370738,1650.1499999999999,0,0,0,1,2,0,1,0,0,1,0,0
